3,100,2018-11-01 14:03:48.932
3,100,2018-11-01 14:09:47.364
3,100,2018-11-01 14:11:52.968
3,100,2018-11-01 14:14:53.629
3,100,2018-11-01 14:17:58.003
3,52,2018-11-01 14:21:27.801
2,12,2018-11-01 14:21:27.947
4,12,2018-11-01 14:21:27.99
7,12,2018-11-01 14:21:27.998
0,11,2018-11-01 14:21:28.027
1,5,2018-11-01 14:21:28.095
8,3,2018-11-01 14:21:28.101
3,30,2018-11-01 14:22:05.086
4,21,2018-11-01 14:22:05.097
0,14,2018-11-01 14:22:05.123
2,12,2018-11-01 14:22:05.13
7,12,2018-11-01 14:22:05.153
1,6,2018-11-01 14:22:05.16
8,5,2018-11-01 14:22:05.165
3,66,2018-11-01 14:22:33.978
2,14,2018-11-01 14:22:34.001
7,14,2018-11-01 14:22:34.01
0,9,2018-11-01 14:22:34.026
1,2,2018-11-01 14:22:34.032
4,2,2018-11-01 14:22:34.038
3,100,2018-11-01 14:23:17.78
5,100,2018-11-01 14:26:19.371
3,40,2018-11-02 13:50:47.059
4,27,2018-11-02 13:50:47.192
0,7,2018-11-02 13:50:47.204
1,7,2018-11-02 13:50:47.211
2,7,2018-11-02 13:50:47.218
7,7,2018-11-02 13:50:47.225
8,7,2018-11-02 13:50:47.232
3,100,2018-11-02 13:51:15.978
3,100,2018-11-02 13:51:41.461
3,100,2018-11-02 13:52:10.315
3,100,2018-11-02 13:52:39.316
3,100,2018-11-02 13:52:58.579
3,100,2018-11-02 13:53:27.464
3,100,2018-11-02 13:53:59.663
3,100,2018-11-02 13:54:28.637
3,100,2018-11-02 13:55:00.706
3,100,2018-11-02 13:55:29.739
3,100,2018-11-02 13:56:01.769
3,100,2018-11-02 13:56:30.626
3,100,2018-11-02 13:57:02.792
3,100,2018-11-02 13:57:31.726
3,100,2018-11-02 13:58:03.826
3,100,2018-11-02 13:58:32.663
3,100,2018-11-02 13:59:04.879
3,100,2018-11-02 13:59:33.717
3,100,2018-11-02 14:00:03.078
0,14,2018-11-02 14:12:41.674
3,53,2018-11-02 14:12:41.635
2,14,2018-11-02 14:12:41.696
7,14,2018-11-02 14:12:41.71
1,3,2018-11-02 14:12:41.732
4,2,2018-11-02 14:12:41.769
2,31,2018-11-02 14:25:13.31
7,31,2018-11-02 14:25:13.4
4,30,2018-11-02 14:25:13.414
0,8,2018-11-02 14:25:13.424
1,8,2018-11-02 14:25:13.437
3,8,2018-11-02 14:25:13.444
8,8,2018-11-02 14:25:13.456
4,31,2018-11-02 14:30:57.968
3,15,2018-11-02 14:30:58.04
0,14,2018-11-02 14:30:58.063
2,14,2018-11-02 14:30:58.07
7,14,2018-11-02 14:30:58.099
1,9,2018-11-02 14:30:58.113
8,8,2018-11-02 14:30:58.126
3,34,2018-11-02 14:31:49.901
0,21,2018-11-02 14:31:49.963
2,18,2018-11-02 14:31:49.97
7,18,2018-11-02 14:31:50.008
4,11,2018-11-02 14:31:50.079
1,4,2018-11-02 14:31:50.091
8,3,2018-11-02 14:31:50.118
3,46,2018-11-02 14:33:31.539
0,28,2018-11-02 14:33:31.595
2,15,2018-11-02 14:33:31.64
7,15,2018-11-02 14:33:31.656
1,2,2018-11-02 14:33:31.67
4,2,2018-11-02 14:33:31.7
3,47,2018-11-02 14:34:00.419
2,25,2018-11-02 14:34:00.461
7,25,2018-11-02 14:34:00.502
0,15,2018-11-02 14:34:00.531
1,4,2018-11-02 14:34:00.56
4,1,2018-11-02 14:34:00.575
8,1,2018-11-02 14:34:00.595
5,100,2018-11-21 13:41:35.099
3,100,2018-11-21 13:41:35.344
3,100,2018-11-21 13:42:19.235
3,100,2018-11-21 13:42:48.064
3,100,2018-11-21 13:43:20.299
3,100,2018-11-21 13:43:49.204
3,100,2018-11-21 13:44:21.374
3,100,2018-11-21 13:44:50.284
3,100,2018-11-21 13:45:22.416
3,100,2018-11-21 13:49:33.528
3,100,2018-11-21 13:50:02.405
5,100,2018-11-22 13:40:53.71
5,100,2018-11-22 13:41:20.627
2,28,2018-11-22 13:41:20.804
3,28,2018-11-22 13:41:20.831
7,28,2018-11-22 13:41:20.84
4,21,2018-11-22 13:41:20.859
0,7,2018-11-22 13:41:20.868
1,6,2018-11-22 13:41:20.876
8,5,2018-11-22 13:41:20.885
5,100,2018-11-22 13:42:08.589
4,27,2018-11-22 13:42:08.659
3,19,2018-11-22 13:42:08.673
2,16,2018-11-22 13:42:08.706
7,16,2018-11-22 13:42:08.734
0,15,2018-11-22 13:42:08.763
1,8,2018-11-22 13:42:08.771
8,7,2018-11-22 13:42:08.786
5,100,2018-11-22 13:42:54.761
3,41,2018-11-22 13:42:54.92
0,23,2018-11-22 13:42:54.929
7,20,2018-11-22 13:42:54.946
2,20,2018-11-22 13:42:54.938
4,2,2018-11-22 13:42:54.954
1,1,2018-11-22 13:42:54.965
